CS201|Programming Fundamentals
CS204|Advanced Programming
EE234|Electronics Engineering Vertical Integration & Professional Seminar|1|0
EE302|Digital Integrated Circuits
EE303|Analog Integrated Circuits
EE306|Introduction to Radio Frequency and Microwave Design
EE307|Semiconductor Physics and Devices
EE310|Hardware Description Languages
EE311|Introduction to Signal Processing and Information Systems
EE312|Discrete-Time Signals and Systems
EE313|Introduction to Communication Systems
EE314|Digital Communications
EE401|Very Large Scale Integrated System Design I
EE402|VLSI II: System-on-Chip (SoC) Application Specific Integrated Circuits (ASIC) built on RISC-V Architecture
EE403|Optoelectronics
EE404|Introduction to Microelectromechanical Systems
EE405|Communication Circuit Design
EE406|Antennas and Propagation for Wireless Communication
EE407|Microelectronic Fabrication
EE408|Modeling of Semiconductor Devices
EE409|Microwaves
EE410|Information and Coding Theory
EE411|RF Integrated Circuits I
EE412|RF Integrated Circuits - II
EE413|Wireless Communications
EE414|Multimedia Communication
EE415|Digital Speech and Audio Processing
EE417|Computer Vision
EE419|Signal Processing Design and Implementation
EE420|Phased Array Systems for Radar and Wireless Communications
EE423|Embedded Systems
EE426|Heterogeneous Computing and System-on-Chip Design
EE440|Mixed-Signal Integrated Circuits
EE444|Optics
EE473|Biomedical Instrumentation
ENS201|Electromagnetics I
ENS206|Systems Modeling and Control
ENS311|Numerical Analysis
ENS409|Numerical Analysis
