ACC201|Introduction to Financial Accounting and Reporting
ACC301|Managerial Accounting
ACC405|Financial Statement Analysis
ANTH214|Anthropology as Cultural Critique
ANTH255|Local Cultures, Global Forces
ANTH321|Anthropology of Migration and the City
ANTH326|Anthropology of the Body
ANTH340|Anthropology of Gender and Sexuality
ANTH468|Ethnography: Fieldwork and Writing in Antropology
BIO421|Tissue Engineering
BIO436|Cancer Biology
BIO460|Evolution
BIO468|Gene Regulation & Diseases
CHEM212|General Chemistry for Engineers|7|3
CONF300|Conflict Analysis and Resolution
CONF400|International Conflict and Peace
CONF431|Conflict Resolution Practice
CS48013|Special Topics in CS: Human-Centered Artificial Intelligence: Design, Implementation, and Research Methods
CULT322|Youth Culture
CULT355|Urban Spaces and Cultures
CULT361|Oral History|7|3
CULT368|Globalization and Health Inequalities
CULT370|Everyday Life
CULT384|Political Ecology and Society
CULT391|Turkish Culture: Critical Perspectives
CULT399|Independent Study
CULT432|Modernism/Postmodernism
CULT453|Spaces of Migration
ECON201|Games and Strategies
ECON202|Macroeconomics
ECON204|Microeconomics
ECON301|Econometrics|7|3
ECON310|Game Theory
ECON312|Behavioral Economics
ECON320|Public Economics
ECON321|Education Economics and Policy
ECON322|Health Economics and Policy
ECON323|Energy and Environmental Economics
ECON330|Industrial Organization
ECON340|International Economics
ECON345|International Finance
ECON350|Financial Institutions and Markets
ECON360|Advanced Macroeconomics|7|3
ECON370|Advanced Microeconomics|7|3
ECON399|Independent Study
ECON400|History of Economic Thought
ECON401|Applied Econometrics
ECON405|Law and Economics
ECON407|The Political Economy of European Integration
ECON414|Applied Macroeconomics
ECON415|Advanced Industrial Organization
ECON420|Growth and Development
ECON430|Labor Economics
ECON435|Discrete Choice Methods
ECON481|Advanced Microeconomic Theory I|7|4
ECON482|Advanced Microeconomic Theory II|7|4
ECON483|Advanced Macroeconomic Theory I|7|4
ECON484|Advanced Macroeconomic Theory II|7|4
ECON488|Matchings and Markets
ECON492|Seminar on the Turkish Economy
ECON494|Spatial Data Science
ECON495|Machine Learning for Policy Evaluation
ENS214|Dynamics
ENT201|The Foundations of Entrepreneurship
FIN301|Financial Management
FIN401|Corporate Finance
FIN402|Investments
FIN403|Derivative Securities
FIN405|Corporate Mergers & Acquisitions
FIN406|Behavioral Finance
FIN407|Entrepreneurship and Venture Capital
FIN409|Banking and Financial Intermediation
FIN410|Financial Technologies
FIN411|Sustainable Finance
FIN499|Wealth Management
GEN341|Gender and Society
GEN343|Topics In Gender & Sexuality Studies
GEN385|Migrations and the Family
GEN399|Independent Study in Gender Studies
GEN410|Gender and Politics
GEN442|Gendered Memories of War and Political Violence
GEN444|Gender and Sexuality in Türkiye
GEN480|Men and Mesculinities
HART234|Classical Mythology in Art
HART292|From Modern to Contemporary Art
HART293|Contemporary Art
HART320|Women Artists
HART413|Visual Arts in Türkiye
HART425|Art & History at the Museum
HART426|Leonardo and Michelangelo: Heroes of the Renaissance
HART432|Post-1945 American Art
HIST233|The Medieval Hero, East and West
HIST335|The Gunpowder Empires of the Islamic World, ca. 1450-1800
HIST349|Diplomatic History of the Modern Era II (1945-2004)
HIST371|History of a City II : Ottoman Istanbul, 1450-1900
HIST439|Christians In The Ottoman Empire
HIST489|From Empire to Republic : Turkish Nationalism and the Nation-State
HUM413|Genres and Styles of Western Music
HUM414|Orientalism in Western Classical Music
IE303|Decision Economics
IE304|Production and Service Systems Planning and Design
IE305|Simulation
IE309|Manufacturing Processes I
IE311|Operations Research I
IE312|Operations Research II
IE313|Operations Research III
IE401|Production and Service Systems Operations
IE402|Integrated Manufacturing Systems
IE403|Quality Planning and Control
IE405|Decision Analysis
IE409|Project Scheduling and Management
IE411|Modeling and Analysis of Large Systems
IE413|Information Systems|5|3
IE414|Manufacturing and Digitalization Strategies
IE416|Additive Manufacturing|7|3
IE430|Logistics Systems Planning and Design
IE432|Stochastic Models in Finance
IE451|Data Analytics and Optimization
IE454|Supply Chain Analysis
IF200|Fantasy, Reality, Science and Society
IF201|Science, Engineering and Politics of Food
IF301|Gender in Science and Technology
IF333|Creativity, Innovation and Entrepreneurship
IF402|Sustainability and Circularity in Materials
IF405|Scientific Investigations into Artworks
IF467|Decision, Psychology and Brain
IR201|International Relations Theory
IR301|Globalization and International Relations
IR341|Global Governance
IR342|Turkish Foreign Policy
IR391|International Political Economy
IR392|Foreign Policy Analysis
IR394|World Politics
IR402|Türkiye in Europe
IR405|European Foreign Policy
