CS303|Logic and Digital System Design|7|4
EE200|Electronic Circuit Implementations|2|2
EE202|Electronic Circuits II|6|3
EE308|Microcomputer Based System Design|7|4
EE321|Introduction to Digital Circuits|7|4
EE395|Internship Project|5|0
ENS203|Electronic Circuits I|6|3
ENS211|Signals|6|3
ENS491|Graduation Project (Design)|2|1
ENS492|Graduation Project (Implementation)|5|3
MATH201|Linear Algebra|6|3
MATH202|Differential Equations|6|3
MATH203|Introduction to Probability|6|3
MATH204|Discrete Mathematics|6|3
MATH212|Linear Algebra and Differential Equations|7|4
