IF100|Computational Approaches to Problem Solving|5|3|FENS
MATH101|Calculus I|6|3|FENS
CIP101N|Civic Involvement Projects I-N|1|0|FASS
NS101|Science of Nature I|6|4|FENS
SPS101|Humanity and Society I|6|3|FASS
TLL101|Turkish Language and Literature I|3|2|SL
AL102|Academic Literacies|5|3|SL
MATH102|Calculus II|6|3|FENS
NS102|Science of Nature II|6|4|FENS
SPS102|Humanity and Society II|6|3|FASS
TLL102|Turkish Language and Literature II|3|2|SL
HIST191|Principles of Atatürk and the History of the Turkish Revolution I|3|2|FASS
HIST192|Principles of Atatürk and the History of the Turkish Revolution II|3|2|FASS
HUM201|Major Works of Literature|5|3|FASS
PROJ201|Undergraduate Project Course|1|1|FENS
HUM202|Major Works of Western Art|5|3|FASS
HUM207|Major Works of Western Philosophy|5|3|FASS
SPS303|Law and Ethics|5|3|FASS
HUM311|Major Works of Literature: The World Before Modernity|5|3|FASS
HUM312|Major Works of Modern Art|5|3|FASS
HUM317|Major Works of Moral Philosophy|5|3|FASS
HUM321|Major Works of Literature: The Modern World|5|3|FASS
HUM322|Major Works of Art: The World Before Modernity|5|3|FASS
HUM371|Major Works of Literature: The Islamic World|5|3|FASS
